NAICS,GROSS SALES,Taxable sales,sales tax,use tax,Total tax,Number
4239,"$3,533,931,557 ","$463,500,428 ","$30,127,692 ","$1,508,630 ","$31,636,322 ","1,025"
4241,"$1,922,954,356 ","$249,773,971 ","$16,235,372 ","$1,198,773 ","$17,434,145 ",211
4242,"$4,202,428,302 ","$78,416,937 ","$5,097,099 ","$263,837 ","$5,360,936 ",100
4243,"$90,885,358 ","$3,833,156 ","$249,154 ","$22,921 ","$272,075 ",62
4244,"$7,698,748,363 ","$211,828,858 ","$13,769,312 ","$2,531,594 ","$16,300,906 ",389
4245,"$2,039,619,028 ","$34,342,212 ","$2,232,254 ","$1,732,755 ","$3,965,009 ",175
4246,"$803,345,640 ","$56,723,643 ","$3,687,059 ","$251,765 ","$3,938,824 ",145
4247,"$7,988,306,465 ","$160,607,238 ","$10,439,490 ","$4,521,645 ","$14,961,135 ",200
4248,"$1,231,983,304 ","$5,793,085 ","$483,510 ","$356,237 ","$839,747 ",64
4249,"$4,888,633,248 ","$246,297,479 ","$16,009,369 ","$686,322 ","$16,695,691 ",711
4251,"$86,175,325 ","$12,182,586 ","$791,873 ","$75,754 ","$867,627 ",88
4411,"$9,757,330,108 ","$814,878,496 ","$53,147,936 ","$4,360,862 ","$57,508,798 ",927
4412,"$2,075,925,142 ","$616,660,452 ","$39,963,632 ","$130,466 ","$40,094,098 ",748
4413,"$1,472,139,095 ","$668,559,572 ","$43,456,413 ","$413,517 ","$43,869,930 ","1,442"
4421,"$1,238,533,389 ","$1,021,495,946 ","$66,397,294 ","$751,612 ","$67,148,906 ",887
4422,"$1,174,364,976 ","$547,097,170 ","$35,561,760 ","$6,534,911 ","$42,096,671 ","1,754"
4431,"$3,853,851,285 ","$2,188,662,011 ","$142,263,075 ","$5,336,430 ","$147,599,505 ","2,104"
4441,"$6,046,065,624 ","$4,866,961,468 ","$316,353,327 ","$7,828,989 ","$324,182,316 ","2,071"
4442,"$995,525,887 ","$260,026,495 ","$16,901,743 ","$348,689 ","$17,250,432 ",606
4451,"$8,865,986,478 ","$1,650,521,419 ","$109,968,815 ","$697,699 ","$110,666,514 ","1,675"
4452,"$783,486,403 ","$201,780,584 ","$13,198,251 ","$278,104 ","$13,476,355 ","1,090"
4453,"$1,246,090,163 ","$1,097,923,391 ","$97,050,298 ","$334,379 ","$97,384,677 ","1,096"
4461,"$3,823,196,562 ","$590,257,375 ","$38,425,436 ","$760,693 ","$39,186,129 ","1,461"
4471,"$8,668,082,068 ","$846,371,166 ","$55,222,580 ","$1,224,311 ","$56,446,891 ","2,238"
4480,"$972,489,248 ","$217,053,104 ","$14,108,485 ","$669,265 ","$14,777,750 ",751
4481,"$1,487,978,252 ","$299,254,980 ","$19,452,715 ","$766,818 ","$20,219,533 ","1,400"
4482,"$273,396,444 ","$11,074,582 ","$719,847 ","$101,603 ","$821,450 ",332
4483,"$433,381,067 ","$358,599,047 ","$23,308,997 ","$109,099 ","$23,418,096 ","1,409"
4511,"$1,950,780,647 ","$1,055,756,307 ","$68,650,700 ","$724,712 ","$69,375,412 ","3,151"
4512,"$682,053,875 ","$382,439,245 ","$25,027,238 ","$211,438 ","$25,238,676 ","1,403"
4520,"$8,802,274,401 ","$4,860,506,133 ","$317,340,428 ","$10,536,920 ","$327,877,348 ",565
4521,"$429,699,803 ","$219,917,515 ","$14,294,650 ","$192,384 ","$14,487,034 ",51
4529,"$1,096,367,578 ","$497,423,771 ","$32,333,302 ","$354,539 ","$32,687,841 ",559
4531,"$185,797,795 ","$136,658,000 ","$8,884,928 ","$40,965 ","$8,925,893 ",878
4532,"$1,103,909,738 ","$741,765,601 ","$48,225,969 ","$901,096 ","$49,127,065 ","2,488"
4533,"$262,111,735 ","$152,080,161 ","$9,891,580 ","$244,292 ","$10,135,872 ","2,584"
4539,"$2,442,265,647 ","$1,012,774,030 ","$65,186,188 ","$1,583,171 ","$66,769,359 ","11,320"
4540,"$46,036,791 ","$24,037,225 ","$1,565,848 ","$20,728 ","$1,586,576 ","1,511"
4541,"$1,545,707,739 ","$631,201,073 ","$41,031,271 ","$422,701 ","$41,453,972 ",943
4542,"$145,030,835 ","$128,067,175 ","$8,324,396 ","$153,199 ","$8,477,595 ",602
4543,"$2,033,417,735 ","$466,027,565 ","$30,298,696 ","$723,243 ","$31,021,939 ","2,585"
4810,"$170,392,803 ","$86,163,170 ","$5,622,995 ","$4,952,803 ","$10,575,798 ",123
4812,"$1,726,130 ","$398,377 ","$26,276 ","$2,217 ","$28,493 ",8
4821,"$73,613,692 ","$1,320,560 ","$86,527 ","$3,354,852 ","$3,441,379 ",18
4830,"$19,174,977 ","$5,271,950 ","$359,812 ","$72,718 ","$432,530 ",27
4840,"$246,281,798 ","$16,136,756 ","$1,048,898 ","$932,525 ","$1,981,423 ",496
4841,"$1,014,062,341 ","$49,243,564 ","$3,203,389 ","$1,129,000 ","$4,332,389 ",803
4842,"$895,506,488 ","$12,610,789 ","$819,784 ","$528,545 ","$1,348,329 ",450
4850,"$95,140,870 ","$6,263,028 ","$419,601 ","$86,085 ","$505,686 ",56
4851,"$7,084,152 ","$67,334 ","$4,376 ","$16,630 ","$21,006 ",5
4852,"$19,039,664 ","$611,523 ","$39,751 ","$21,895 ","$61,646 ",5
4853,"$10,425,470 ","$538,997 ","$35,038 ","$12,011 ","$47,049 ",30
4854,"$96,665,547 ","$3,024,673 ","$196,602 ","$88,423 ","$285,025 ",48
4855,"$30,605,814 ","$29,994 ","$1,949 ","$43,822 ","$45,771 ",14
4859,"$24,178,070 ","$3,896,360 ","$335,359 ","$10,098 ","$345,457 ",22
4860,"$20,309,216 ","$11,117,385 ","$722,629 ","$279,357 ","$1,001,986 ",16
4861,$0 ,$0 ,$0 ,"$147,981 ","$147,981 ",7
4872,"$1,307,482 ","$936,592 ","$64,476 ",$230 ,"$64,706 ",6
4881,"$88,061,506 ","$7,231,830 ","$471,713 ","$46,366 ","$518,079 ",42
4882,"$20,670,754 ","$551,338 ","$35,836 ","$41,790 ","$77,626 ",7
4883,"$17,042,563 ","$2,691,290 ","$174,937 ","$8,034 ","$182,971 ",5
4884,"$185,969,066 ","$85,742,913 ","$5,573,352 ","$61,501 ","$5,634,853 ",504
4885,"$39,038,112 ","$596,609 ","$38,779 ","$12,887 ","$51,666 ",32
4889,"$66,185,079 ","$8,486,499 ","$551,622 ","$27,046 ","$578,668 ",28
4921,"$16,225,187 ","$408,075 ","$26,525 ","$6,827 ","$33,352 ",17
4922,"$29,947,831 ","$5,320,003 ","$345,805 ","$38,647 ","$384,452 ",44
4931,"$106,171,999 ","$6,052,229 ","$393,395 ","$94,889 ","$488,284 ",84
5111,"$1,000,974,769 ","$36,332,756 ","$2,361,944 ","$765,682 ","$3,127,626 ",389
5112,"$472,539,475 ","$94,555,230 ","$6,146,100 ","$118,583 ","$6,264,683 ",159
5121,"$179,056,083 ","$94,396,366 ","$6,142,413 ","$97,182 ","$6,239,595 ",335
5122,"$11,404,876 ","$2,594,359 ","$168,634 ","$2,105 ","$170,739 ",37
5151,"$81,953,190 ","$28,062,108 ","$1,824,049 ","$348,808 ","$2,172,857 ",93
5152,"$829,555,851 ","$673,761,079 ","$43,794,477 ","$422,123 ","$44,216,600 ",60
5161,"$7,308,223 ","$220,441 ","$14,328 ","$1,009 ","$15,337 ",23
5170,"$4,115,683,348 ","$3,577,275,706 ","$232,522,949 ","$1,987,220 ","$234,510,169 ",780
5171,"$26,000,891 ","$22,795,242 ","$1,481,693 ",$315 ,"$1,482,008 ",14
