County,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,year,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Dodge,509558974,87680354,5809303,465108,6274411,477,2004,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,1330499132,569774839,37428651,837492,38266143,1416,2004,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,927505941,85821359,5685871,639400,6325271,563,2004,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,573585446,110716119,7325484,146356,7471840,814,2004,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1161530071,248236184,16372685,556133,16928818,967,2004,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,2111770319,273857487,18180699,2422269,20602968,1450,2004,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,164897688,25239931,1683541,36422,1719963,253,2004,51,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,64925902509,17735078239,1175999545,73802070,1249801615,31012,2004,53,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,270037349,66177662,4404139,251404,4655543,544,2004,55,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,338922643,125451481,8360540,327090,8687630,796,2004,57,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,652493362,284758543,18746980,538134,19285114,925,2004,59,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,1244426371,345074937,22792829,874973,23667802,1447,2004,61,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,421976372,41833799,2768500,122350,2890850,453,2004,63,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,218613095,70184499,4595911,54754,4650665,428,2004,65,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,1716260103,415771675,27419374,1395974,28815348,1258,2004,67,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,94721854,16975845,1138578,15169,1153747,174,2004,69,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,338287504,89948104,6036801,368567,6405368,457,2004,71,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac Qui Parle,221003059,26218733,1749198,138624,1887822,254,2004,73,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,231347052,67901470,4528927,1891706,6420633,401,2004,75,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake Of The Woods,95392791,43829072,2948139,20703,2968842,226,2004,77,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,493323915,86774830,5816395,402898,6219293,661,2004,79,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,207442505,26767880,1769721,22816,1792537,222,2004,81,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,812985174,234257474,15427500,1089105,16516605,834,2004,83,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mcleod,901208715,307422453,20226584,2779303,23005887,1079,2004,85,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Mahnomen,81908078,42486806,2862753,12549,2875302,141,2004,87,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,131414679,29612174,1994515,28632,2023147,250,2004,89,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,637230306,123648996,8180061,421637,8601698,709,2004,91,B,Town/rural mix,EDR 9 - South Central,Southwest
Meeker,707540612,113592611,7496904,412945,7909849,637,2004,93,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,514548945,143771391,9605389,146745,9752134,721,2004,95,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,748977258,179084017,11978141,276737,12254878,1067,2004,97,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,690389228,222114481,14744110,1167701,15911811,991,2004,99,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,231552319,36027599,2401520,77939,2479459,355,2004,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,695578336,142129789,9426001,674503,10100504,666,2004,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,532060216,150160681,9872652,258131,10130783,703,2004,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,121798008,25663654,1711896,33086,1744982,220,2004,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,4427072307,1511069590,99606295,6712303,106318598,3252,2004,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,1597779755,522225886,34322829,839615,35162444,1976,2004,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,1668865828,115256005,7626366,384162,8010528,403,2004,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,312561491,143970508,9629480,198883,9828363,708,2004,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,234217523,44172774,2921339,158366,3079705,339,2004,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,639856959,165345675,10996991,280966,11277957,835,2004,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,219280423,61633195,4099246,77627,4176873,335,2004,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,22043911353,5564652029,369002623,30943816,399946439,11215,2004,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,96208875,15721403,1057375,26773,1084148,118,2004,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,693014789,112313026,7457848,475426,7933274,589,2004,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,359034389,70845111,4709231,347904,5057135,570,2004,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,1384417493,370580238,24518267,532187,25050454,1481,2004,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,182609295,40748814,2701319,120776,2822095,288,2004,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
