County,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,year,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Red Lake,77649068,19285111,1363005,36371,1399376,108,2010,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,1150166766,121077670,8514616,431095,8945711,556,2010,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,517407843,65120424,4584782,306600,4891382,498,2010,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,1933188054,369088469,25959464,658070,26617534,1560,2010,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,230750640,42906550,3002481,155844,3158325,307,2010,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,582119614,93215049,6540965,435713,6976678,517,2010,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,3261939860,993667257,69902339,6358555,76260894,3076,2010,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,1776843630,505422022,35340634,1234277,36574911,2127,2010,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,384014548,32563890,2309508,301610,2611118,430,2010,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,7146895428,2037584445,142946682,16042436,158989118,5553,2010,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,7135170408,1496370352,104802723,6482116,111284839,4479,2010,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,2856488768,392340196,27342891,1210732,28553623,1073,2010,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,282547609,77878799,5441630,388826,5830456,339,2010,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,679488158,60975103,4293335,75777,4369112,332,2010,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,708720901,68295224,4882832,229844,5112676,699,2010,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,83367838,15766769,1117071,23297,1140368,141,2010,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,393850951,80286175,5727232,376293,6103525,719,2010,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,525360232,115346214,8035870,106823,8142693,459,2010,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,503409071,85926061,6040679,417621,6458300,500,2010,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,8435874609,1742795274,122666925,6743067,129409992,5180,2010,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,568444290,50681063,3557922,265721,3823643,328,2010,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,328684884,17773840,1254824,28781,1283605,159,2010,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,2133534777,349003209,24426419,2597117,27023536,1299,2010,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,3366078978,870333663,61071956,2321587,63393543,3199,2010,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,309449682,44195663,3098312,162070,3260382,386,2010,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Minnesota,279159186053,61871033079,4334470877,338254232,4672725109,160660,2010,0,NA,Minnesota,Minnesota,Minnesota
Aitkin,359307046,101070257,7166928,140367,7307295,526,2011,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,11243621893,2861505340,206490092,15969719,222459811,6989,2011,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,848130479,275397425,19398601,813450,20212051,1004,2011,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,1207250471,414651844,29057478,1360185,30417663,1230,2011,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,1578193626,313000440,21992508,1353699,23346207,955,2011,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,98851928,22220172,1564365,29842,1594207,228,2011,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5210130796,1058589446,73746945,2671728,76418673,1821,2011,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,1250394770,220448840,15481974,920986,16402960,814,2011,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,903588019,195047444,13830716,1519869,15350585,824,2011,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,2893442407,604046884,42629887,2631281,45261168,2167,2011,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,514376553,188920319,13536567,191997,13728564,1063,2011,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,556651150,108766072,7628549,1090071,8718620,440,2011,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,1009487467,210733371,14956043,485956,15441999,1293,2011,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,2078533487,373131279,26201839,1538235,27740074,1018,2011,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,306954953,30395090,2159378,290736,2450114,230,2011,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,186655420,92123089,6482972,99333,6582305,390,2011,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,792280773,61939458,4336992,264959,4601951,402,2011,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,2330110927,794289369,55762076,1460163,57222239,2287,2011,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,16920879271,3988962611,279132714,19982651,299115365,8515,2011,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,738714304,72981533,5138336,294924,5433260,457,2011,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,1740422711,477595859,33401482,1053688,34455170,1443,2011,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,467258929,84559339,5922159,1032225,6954384,509,2011,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,854325347,121557487,8521112,278517,8799629,799,2011,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1717948229,256679452,17931736,1114740,19046476,931,2011,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,1525416273,301210339,21154864,1153486,22308350,1378,2011,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,420172382,28132231,1969126,77386,2046512,250,2011,51,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,79733810465,18904106710,1328984747,95994496,1424979243,31341,2011,53,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,301319572,66187093,4670059,234105,4904164,526,2011,55,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,442738078,136039355,9633919,355989,9989908,771,2011,57,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,968099958,315396991,22008635,466895,22475530,878,2011,59,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,1390624005,374936131,26328624,627881,26956505,1357,2011,61,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,516526948,58300498,4070805,268216,4339021,428,2011,63,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,207851776,56154454,3964200,184975,4149175,402,2011,65,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,2137343480,515192842,35902382,2215650,38118032,1267,2011,67,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,132935728,21543796,1525130,51237,1576367,156,2011,69,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,949796345,97687758,6928128,1748904,8677032,429,2011,71,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac Qui Parle,284644408,28676803,2026423,325329,2351752,243,2011,73,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,259665716,78974517,5580796,5060971,10641767,396,2011,75,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake Of The Woods,117737538,52901680,3751765,28576,3780341,232,2011,77,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,625248540,95269045,6767134,288181,7055315,738,2011,79,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,136663578,30855485,2161384,79167,2240551,222,2011,81,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,2081629892,413025148,28684694,2292136,30976830,807,2011,83,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,93745587,47802759,3411666,19088,3430754,111,2011,87,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,211592769,39065314,2755430,49141,2804571,248,2011,89,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,1372391149,140176696,9815993,456653,10272646,657,2011,91,B,Town/rural mix,EDR 9 - South Central,Southwest
Mcleod,1205223605,310601745,21653297,860639,22513936,1008,2011,85,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,970493357,134706740,9422953,452818,9875771,632,2011,93,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,688783819,136422192,9678737,152033,9830770,679,2011,95,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,863511758,182374211,12889297,260060,13149357,1046,2011,97,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,893944441,223656936,15707581,1210962,16918543,921,2011,99,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,299393684,42498067,2993065,68314,3061379,323,2011,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,809907788,164648509,11621540,821651,12443191,723,2011,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,1228585203,175262264,12195331,590359,12785690,630,2011,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,191229477,33355507,2336356,41007,2377363,203,2011,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5778763471,1631973760,114150853,13051944,127202797,3291,2011,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,2236382596,603728674,42087565,1621589,43709154,1927,2011,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,960207954,143264487,10028746,390719,10419465,382,2011,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,419048287,140584342,10048467,103331,10151798,734,2011,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,361620410,59519775,4152653,156082,4308735,332,2011,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,928510047,197467741,13881508,693359,14574867,760,2011,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,292822773,52342624,3706049,212299,3918348,366,2011,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,25551115646,5753013791,400959730,61064727,462024457,11263,2011,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,94393220,21031219,1468544,47011,1515555,99,2011,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,1554084724,130899198,9189192,524047,9713239,543,2011,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,587689191,72505502,5100675,447656,5548331,471,2011,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,2141051700,384377388,27023008,843729,27866737,1458,2011,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,265065535,44361791,3101078,186213,3287291,292,2011,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,647678504,99365723,6973288,489792,7463080,497,2011,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,3632456694,1067221694,75007337,4800579,79807916,2990,2011,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,2033483231,543887019,38013934,1374226,39388160,2035,2011,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,779842569,38573806,2721620,383566,3105186,406,2011,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,7876410439,2093833602,146981851,19491642,166473493,5281,2011,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,7891034734,1602218761,112201421,6664740,118866161,4369,2011,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,3000658662,405227815,28253923,1251852,29505775,1035,2011,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,392090615,83257604,5814793,526947,6341740,347,2011,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,767378734,64842080,4561511,141737,4703248,313,2011,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,822461847,70139941,5008252,188520,5196772,694,2011,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,134141499,17071271,1207551,20455,1228006,137,2011,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,407404025,86937627,6200917,421033,6621950,704,2011,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,556465988,115999004,8074416,117340,8191756,435,2011,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,535957263,90969795,6395843,785208,7181051,486,2011,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,10080870747,1821303319,128324144,8195601,136519745,5001,2011,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,662813350,52676669,3696269,524310,4220579,319,2011,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,383902945,19705082,1388031,47624,1435655,149,2011,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,2264962554,360896592,25241722,2919220,28160942,1284,2011,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,3983736953,915624869,64222629,3114279,67336908,3083,2011,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,370890339,48645392,3404006,249652,3653658,375,2011,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Minnesota,299803105999,65068016717,4556451905,368247457,4924699362,154846,2011,0,NA,Minnesota,Minnesota,Minnesota
Aitkin,365350225,104998505,7436589,151668,7588257,514,2012,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,11481603490,2945395178,212341761,17424782,229766543,7024,2012,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,902968882,295727008,20832351,874129,21706480,1001,2012,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,1284908567,433591474,30386432,1361131,31747563,1199,2012,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,1661357830,331267339,23270691,1540560,24811251,941,2012,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,117325315,24304052,1711179,31281,1742460,224,2012,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5505145404,1092344875,76116192,2694647,78810839,1795,2012,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,1337455794,227882500,16011461,850886,16862347,811,2012,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,938443343,201668921,14300943,4143983,18444926,830,2012,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,3183285107,621820062,43908022,2532001,46440023,2180,2012,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,561452201,206291582,14759254,185470,14944724,1068,2012,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,537373264,102600314,7206066,1268220,8474286,422,2012,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,1139974254,226008612,16017289,599071,16616360,1275,2012,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,2218055024,384575271,26999726,1967337,28967063,989,2012,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,315378281,32155213,2282645,569712,2852357,233,2012,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,196478142,94541834,6652784,85958,6738742,406,2012,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,840464198,64948490,4548815,292377,4841192,403,2012,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,2485069556,835773717,58677192,2037288,60714480,2309,2012,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,17649563446,4197443682,293834491,22426672,316261163,8568,2012,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,747595882,73074697,5150226,328957,5479183,444,2012,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,1985616611,513050405,35878950,1205511,37084461,1428,2012,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,496724578,84854373,5948271,1242375,7190646,509,2012,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,914088282,127686619,8959397,360596,9319993,807,2012,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1793302087,268288182,18735471,1274877,20010348,922,2012,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,1604939894,314339599,22063944,983470,23047414,1356,2012,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,499144796,30667104,2136742,42503,2179245,244,2012,51,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,81070348063,19578264100,1376724834,102839695,1479564529,31510,2012,53,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,342412772,69366727,4889643,287388,5177031,514,2012,55,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,443340835,141862984,10077368,476519,10553887,779,2012,57,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,1012640621,321605940,22446609,486645,22933254,882,2012,59,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,1415547877,402935528,28261360,680229,28941589,1336,2012,61,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,518291646,57916687,4047860,211232,4259092,414,2012,63,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,205310673,56274689,3975858,260452,4236310,401,2012,65,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,2200364139,544339741,37947538,2881122,40828660,1265,2012,67,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,156294507,22239455,1573683,48303,1621986,151,2012,69,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,768576654,99610838,7065900,1880908,8946808,412,2012,71,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac Qui Parle,299159669,28183651,1996944,219571,2216515,232,2012,73,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,272188306,81852857,5782904,5733152,11516056,416,2012,75,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake Of The Woods,123730197,56576678,4015059,32038,4047097,222,2012,77,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,712517996,101100562,7177494,412628,7590122,781,2012,79,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,123842010,33385128,2337194,54950,2392144,218,2012,81,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,2046616357,330705064,23033348,2115166,25148514,794,2012,83,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,99654386,48536095,3458427,30289,3488716,109,2012,87,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,244405642,42153688,2966852,63730,3030582,232,2012,89,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,1444139910,146309110,10261182,531738,10792920,639,2012,91,B,Town/rural mix,EDR 9 - South Central,Southwest
Mcleod,1296707616,320940333,22384288,1207094,23591382,1016,2012,85,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,1074809327,140209586,9801923,484946,10286869,652,2012,93,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,686319385,142719149,10131255,92055,10223310,674,2012,95,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,874918841,188115717,13293597,332841,13626438,1046,2012,97,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,980164485,247869277,17395077,1314760,18709837,913,2012,99,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,409576630,42175160,2976362,100205,3076567,314,2012,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,798612491,170767584,12056034,1044012,13100046,711,2012,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,1321623509,186548531,12976480,480662,13457142,616,2012,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,194233325,33538577,2359249,55104,2414353,207,2012,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5842700697,1692259114,118412203,12209445,130621648,3317,2012,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,2363772874,625687854,43638226,1722497,45360723,1869,2012,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,1122147111,151288944,10590879,352186,10943065,392,2012,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,403895863,142891687,10212169,129966,10342135,722,2012,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,378027007,60360856,4215995,176807,4392802,326,2012,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,921417546,204567245,14361304,684580,15045884,768,2012,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,319269863,54730056,3873660,211914,4085574,345,2012,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,26676464847,5979703162,416595621,62573001,479168622,11362,2012,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,103234396,23299321,1629339,83152,1712491,106,2012,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,1502508087,138881933,9760596,586148,10346744,534,2012,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,590336897,72580537,5103937,381137,5485074,463,2012,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,2447527456,413221735,29028673,1027813,30056486,1460,2012,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,279905308,46336322,3240065,365694,3605759,295,2012,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,657957414,104002865,7305253,447639,7752892,500,2012,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,3857340205,1130659756,79484697,5826973,85311670,2998,2012,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,2115483305,571327849,39915601,1973838,41889439,2030,2012,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,681703359,36890913,2611241,531068,3142309,406,2012,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,8020594985,2224503785,156092046,20202200,176294246,5236,2012,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,7975158046,1659696823,116216479,7370213,123586692,4429,2012,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,2978662705,400235254,27920691,1624614,29545305,1045,2012,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,396744072,95510553,6663092,631731,7294823,334,2012,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,770974790,66855752,4701207,155970,4857177,306,2012,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,857388633,75172796,5356706,202769,5559475,681,2012,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,112061272,16773096,1184975,27998,1212973,138,2012,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,501794976,91414497,6527125,493887,7021012,722,2012,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,588777945,120041366,8361859,118476,8480335,445,2012,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,427986670,89633559,6305791,631227,6937018,464,2012,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,10318764419,1926683033,135841228,8523286,144364514,5074,2012,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,706875981,54120374,3793075,407778,4200853,325,2012,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,413246552,22511496,1579170,77277,1656447,151,2012,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,2574508810,391343328,27352420,3994133,31346553,1309,2012,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,4148294255,969083628,68013549,3150650,71164199,3138,2012,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,389867961,50895843,3565376,229866,3795242,358,2012,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Minnesota,312838014297,68027970963,4763691241,396858446,5160549687,155392,2012,0,NA,Minnesota,Minnesota,Minnesota
Aitkin,373410703,106052280,7505953,212581,7718534,508,2013,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,12128480204,3027311009,216127126,19461422,235588548,7215,2013,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,1023606001,305236267,21511194,894243,22405437,1030,2013,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,1508635652,467647681,32761412,1256969,34018381,1237,2013,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,1746995021,343007701,24071607,1652153,25723760,971,2013,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,116335291,25407644,1775052,36879,1811931,229,2013,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5396148769,1117547559,77927307,3052638,80979945,1831,2013,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,1400194000,250935066,17603588,736826,18340414,821,2013,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,942163153,202377800,14361454,6110364,20471818,835,2013,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,3390977970,688599472,48627375,2744077,51371452,2273,2013,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,597363308,214426301,15315381,230478,15545859,1093,2013,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,515804374,109794997,7700624,468023,8168647,442,2013,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,1289041095,247455456,17518932,901130,18420062,1333,2013,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,2216674712,408596078,28658571,3075654,31734225,1004,2013,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,317586843,35379535,2512648,652620,3165268,247,2013,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,206909405,100213025,7048821,98755,7147576,414,2013,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,861380055,70983087,4959781,335406,5295187,406,2013,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,2593333284,886011779,62246668,1670266,63916934,2280,2013,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,19127475220,4509195524,315743106,35572862,351315968,8895,2013,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,730130144,77317645,5446987,616421,6063408,467,2013,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,2034548196,543982449,38076873,1158617,39235490,1466,2013,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,554524544,79766607,5598157,521285,6119442,491,2013,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,922670185,140137846,9810607,580089,10390696,788,2013,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1844331225,290052563,20242347,1034610,21276957,935,2013,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,1779435094,336168248,23588012,1082487,24670499,1411,2013,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
