year,cash.receipts,countyfp,other.income,expenses,net.income,Total.acres,Dem_RUCA,Dem_Desc,edr,planning.region
2010,178952000,109,13383000,166957000,13468000,294721,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
2010,354872000,111,31699000,324251000,42753000,701449,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,45357000,113,13897000,51330000,3972000,312800,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2010,53711000,115,2987000,49087000,6225000,121915,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2010,255957000,117,9816000,185884000,73519000,277822,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2010,401369000,119,57729000,375651000,59474000,1028980,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2010,160705000,121,13832000,143638000,19861000,287925,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,3205000,123,88000,2036000,1260000,597,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,45457000,125,7754000,40949000,8577000,230258,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
2010,459505000,127,23749000,342666000,115754000,517128,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2010,535879000,129,25826000,430591000,104098000,575029,A,Entirely rural,EDR  6E- Southwest Central,Central Minnesota
2010,180316000,131,11743000,147311000,35383000,228765,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2010,344657000,133,11328000,262838000,81232000,288672,C,Urban/town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2010,84603000,135,20888000,94587000,6693000,574299,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2010,16647000,137,2070000,16080000,2701000,72993,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2010,83574000,139,6806000,71476000,14545000,104155,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,66501000,141,3675000,69290000,-3428000,84540,D,Entirely urban,EDR  7W- Central,Central Minnesota
2010,300831000,143,14818000,248006000,51095000,308114,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2010,620737000,145,24991000,505753000,123772000,676849,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
2010,212749000,147,13442000,187809000,26260000,220973,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2010,306658000,149,15054000,247778000,58690000,326140,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,249039000,151,22700000,216755000,38641000,419091,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2010,181118000,153,9100000,154867000,30024000,356469,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2010,155392000,155,24199000,134979000,29289000,337236,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
2010,166313000,157,11408000,146473000,22616000,215637,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2010,46210000,159,3659000,38111000,9677000,108130,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2010,248713000,161,14177000,188681000,63352000,234938,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2010,90983000,163,6626000,66742000,28882000,58424,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,230237000,165,12788000,186308000,44614000,254340,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2010,186983000,167,27998000,174940000,27199000,440420,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,216047000,169,10913000,182142000,36982000,178862,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2010,172854000,171,9358000,155539000,18230000,256182,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
2010,263242000,173,27402000,213694000,60513000,440079,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2011,18486830000,000,1551242000,15227793000,4423580000,25037515,NA,Minnesota,Minnesota,Minnesota
2011,16813000,001,3568000,16081000,4343000,98925,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2011,51788000,003,3424000,39944000,15349000,38174,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,215105000,005,13324000,188540000,36514000,335006,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2011,25728000,007,3427000,24981000,3309000,192991,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2011,136689000,009,10637000,124142000,22414000,166487,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
2011,108392000,011,21026000,109996000,14916000,264540,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2011,478576000,013,25348000,355098000,144921000,384915,D,Entirely urban,EDR  9 - South Central,Southwest Minnesota
2011,367849000,015,23612000,278078000,109123000,345389,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2011,9879000,017,1053000,12018000,-1064000,97935,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2011,117942000,019,10797000,100144000,25601000,156408,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,33100000,021,2828000,35058000,1101000,131660,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2011,263831000,023,26519000,225256000,57261000,332556,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2011,48523000,025,4968000,44604000,8138000,142005,D,Entirely urban,EDR  7E- East Central,Central Minnesota
2011,288778000,027,35900000,267590000,44014000,561055,D,Entirely urban,EDR  4 - West Central,Northwest Minnesota
2011,31940000,029,3564000,24504000,10518000,244706,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2011,0,031,0,0,0,1612,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2011,348284000,033,24664000,269141000,98753000,382913,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2011,45796000,035,1506000,21705000,25330000,67732,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2011,244462000,037,16634000,181100000,75516000,177873,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
