edr,year,sales.type,dollars
EDR 4 - West Central,2013,gross.sales,9914143157
EDR 4 - West Central,2013,sales.tax,148495178
EDR 4 - West Central,2013,taxable.sales,2119993158
EDR 4 - West Central,2013,total.tax,156540788
EDR 4 - West Central,2013,use.tax,8045610
EDR 4 - West Central,2014,gross.sales,9708358686
EDR 4 - West Central,2014,sales.tax,151019132
EDR 4 - West Central,2014,taxable.sales,2154746911
EDR 4 - West Central,2014,total.tax,159647707
EDR 4 - West Central,2014,use.tax,8628575
EDR 4 - West Central,2015,gross.sales,9187418948
EDR 4 - West Central,2015,sales.tax,153489979
EDR 4 - West Central,2015,taxable.sales,2189627627
EDR 4 - West Central,2015,total.tax,160743156
EDR 4 - West Central,2015,use.tax,7253177
EDR 4 - West Central,2016,gross.sales,8812226824
EDR 4 - West Central,2016,sales.tax,155161324
EDR 4 - West Central,2016,taxable.sales,2213124289
EDR 4 - West Central,2016,total.tax,161090199
EDR 4 - West Central,2016,use.tax,5928875
EDR 4 - West Central,2017,gross.sales,9240590026
EDR 4 - West Central,2017,sales.tax,160898401
EDR 4 - West Central,2017,taxable.sales,2295757920
EDR 4 - West Central,2017,total.tax,167627561
EDR 4 - West Central,2017,use.tax,6729160
EDR 5 - North Central,2003,gross.sales,4118768877
EDR 5 - North Central,2003,sales.tax,88133986
EDR 5 - North Central,2003,taxable.sales,1332338108
EDR 5 - North Central,2003,total.tax,90281617
EDR 5 - North Central,2003,use.tax,2147631
EDR 5 - North Central,2004,gross.sales,4447803273
EDR 5 - North Central,2004,sales.tax,93575186
EDR 5 - North Central,2004,taxable.sales,1413997476
EDR 5 - North Central,2004,total.tax,95943217
EDR 5 - North Central,2004,use.tax,2368031
EDR 5 - North Central,2005,gross.sales,4649455662
EDR 5 - North Central,2005,sales.tax,93999692
EDR 5 - North Central,2005,taxable.sales,1417482846
EDR 5 - North Central,2005,total.tax,96256237
EDR 5 - North Central,2005,use.tax,2256545
EDR 5 - North Central,2006,gross.sales,4800448712
EDR 5 - North Central,2006,sales.tax,93729851
EDR 5 - North Central,2006,taxable.sales,1411562987
EDR 5 - North Central,2006,total.tax,96188515
EDR 5 - North Central,2006,use.tax,2458664
EDR 5 - North Central,2007,gross.sales,4798138282
EDR 5 - North Central,2007,sales.tax,95433268
EDR 5 - North Central,2007,taxable.sales,1434459251
EDR 5 - North Central,2007,total.tax,98097406
EDR 5 - North Central,2007,use.tax,2664138
EDR 5 - North Central,2008,gross.sales,4699093642
EDR 5 - North Central,2008,sales.tax,92623016
EDR 5 - North Central,2008,taxable.sales,1390550158
EDR 5 - North Central,2008,total.tax,95217099
EDR 5 - North Central,2008,use.tax,2594083
EDR 5 - North Central,2009,gross.sales,4335428119
EDR 5 - North Central,2009,sales.tax,89556594
EDR 5 - North Central,2009,taxable.sales,1302472088
EDR 5 - North Central,2009,total.tax,91535889
EDR 5 - North Central,2009,use.tax,1979295
EDR 5 - North Central,2010,gross.sales,4778214233
EDR 5 - North Central,2010,sales.tax,93310170
EDR 5 - North Central,2010,taxable.sales,1323218936
EDR 5 - North Central,2010,total.tax,95568567
EDR 5 - North Central,2010,use.tax,2258397
EDR 5 - North Central,2011,gross.sales,5086927073
EDR 5 - North Central,2011,sales.tax,95270608
EDR 5 - North Central,2011,taxable.sales,1351722844
EDR 5 - North Central,2011,total.tax,97488688
EDR 5 - North Central,2011,use.tax,2218080
EDR 5 - North Central,2012,gross.sales,5367607176
EDR 5 - North Central,2012,sales.tax,100448608
EDR 5 - North Central,2012,taxable.sales,1425395178
EDR 5 - North Central,2012,total.tax,103325452
EDR 5 - North Central,2012,use.tax,2876844
EDR 5 - North Central,2013,gross.sales,5482288232
EDR 5 - North Central,2013,sales.tax,105561606
EDR 5 - North Central,2013,taxable.sales,1498147320
EDR 5 - North Central,2013,total.tax,108251840
EDR 5 - North Central,2013,use.tax,2690234
EDR 5 - North Central,2014,gross.sales,5875112440
EDR 5 - North Central,2014,sales.tax,108601090
EDR 5 - North Central,2014,taxable.sales,1539051810
EDR 5 - North Central,2014,total.tax,111446270
EDR 5 - North Central,2014,use.tax,2845180
EDR 5 - North Central,2015,gross.sales,6030484056
EDR 5 - North Central,2015,sales.tax,113484145
EDR 5 - North Central,2015,taxable.sales,1608810652
EDR 5 - North Central,2015,total.tax,116342005
EDR 5 - North Central,2015,use.tax,2857860
EDR 5 - North Central,2016,gross.sales,5972560697
EDR 5 - North Central,2016,sales.tax,117521491
EDR 5 - North Central,2016,taxable.sales,1667416900
EDR 5 - North Central,2016,total.tax,119935460
EDR 5 - North Central,2016,use.tax,2413969
EDR 5 - North Central,2017,gross.sales,6107969151
EDR 5 - North Central,2017,sales.tax,122826118
EDR 5 - North Central,2017,taxable.sales,1743794946
EDR 5 - North Central,2017,total.tax,125640268
EDR 5 - North Central,2017,use.tax,2814150
EDR 6E- Southwest Central,2003,gross.sales,3297712351
EDR 6E- Southwest Central,2003,sales.tax,54200443
EDR 6E- Southwest Central,2003,taxable.sales,822319793
EDR 6E- Southwest Central,2003,total.tax,58994074
EDR 6E- Southwest Central,2003,use.tax,4793631
EDR 6E- Southwest Central,2004,gross.sales,3684043819
EDR 6E- Southwest Central,2004,sales.tax,59852093
EDR 6E- Southwest Central,2004,taxable.sales,907631850
EDR 6E- Southwest Central,2004,total.tax,64788219
EDR 6E- Southwest Central,2004,use.tax,4936126
EDR 6E- Southwest Central,2005,gross.sales,3814143274
EDR 6E- Southwest Central,2005,sales.tax,61889826
EDR 6E- Southwest Central,2005,taxable.sales,938801107
EDR 6E- Southwest Central,2005,total.tax,68367302
EDR 6E- Southwest Central,2005,use.tax,6477476
EDR 6E- Southwest Central,2006,gross.sales,3989860349
EDR 6E- Southwest Central,2006,sales.tax,62397321
EDR 6E- Southwest Central,2006,taxable.sales,945906875
EDR 6E- Southwest Central,2006,total.tax,73662615
EDR 6E- Southwest Central,2006,use.tax,11265294
EDR 6E- Southwest Central,2007,gross.sales,4521632569
EDR 6E- Southwest Central,2007,sales.tax,63204756
EDR 6E- Southwest Central,2007,taxable.sales,957591442
EDR 6E- Southwest Central,2007,total.tax,68258209
EDR 6E- Southwest Central,2007,use.tax,5053453
EDR 6E- Southwest Central,2008,gross.sales,4656285447
EDR 6E- Southwest Central,2008,sales.tax,65372960
EDR 6E- Southwest Central,2008,taxable.sales,990347264
EDR 6E- Southwest Central,2008,total.tax,69432745
EDR 6E- Southwest Central,2008,use.tax,4059785
EDR 6E- Southwest Central,2009,gross.sales,4217660864
EDR 6E- Southwest Central,2009,sales.tax,62186986
EDR 6E- Southwest Central,2009,taxable.sales,913559538
EDR 6E- Southwest Central,2009,total.tax,66670756
EDR 6E- Southwest Central,2009,use.tax,4483770
EDR 6E- Southwest Central,2010,gross.sales,4250234290
EDR 6E- Southwest Central,2010,sales.tax,66379863
EDR 6E- Southwest Central,2010,taxable.sales,950313740
EDR 6E- Southwest Central,2010,total.tax,70417898
EDR 6E- Southwest Central,2010,use.tax,4038035
EDR 6E- Southwest Central,2011,gross.sales,4900749633
EDR 6E- Southwest Central,2011,sales.tax,72079307
EDR 6E- Southwest Central,2011,taxable.sales,1033006829
EDR 6E- Southwest Central,2011,total.tax,76056070
EDR 6E- Southwest Central,2011,use.tax,3976763
EDR 6E- Southwest Central,2012,gross.sales,5162217979
EDR 6E- Southwest Central,2012,sales.tax,75237686
EDR 6E- Southwest Central,2012,taxable.sales,1078070197
EDR 6E- Southwest Central,2012,total.tax,80191985
EDR 6E- Southwest Central,2012,use.tax,4954299
EDR 6E- Southwest Central,2013,gross.sales,5411444560
EDR 6E- Southwest Central,2013,sales.tax,74949781
EDR 6E- Southwest Central,2013,taxable.sales,1073288894
EDR 6E- Southwest Central,2013,total.tax,80714035
EDR 6E- Southwest Central,2013,use.tax,5764254
EDR 6E- Southwest Central,2014,gross.sales,5591588778
EDR 6E- Southwest Central,2014,sales.tax,77130870
EDR 6E- Southwest Central,2014,taxable.sales,1104242735
EDR 6E- Southwest Central,2014,total.tax,82858512
