GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "27000","Minnesota",4,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",2197,1919,1922,48,-1544,-174,-1882,-1628,-1848,931,1801,3390,3930,5437,6824,6456,7220,7276
 "27000","Minnesota",4,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",82644,88794,191705,302967,285125,243704,187802,188315,182615,248113,240950,303565,300557,292622,332839,339906,396197,414632
 "27000","Minnesota",4,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",408610,378850,361548,383482,414596,501917,485813,732805,602497,976890,1176364,1183105,927900,828747,678592,517028,672460,759190
 "27000","Minnesota",4,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16392,30228,100086,(D)
 "27000","Minnesota",4,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",415354,385214,362018,374732,397292,491612,479554,721551,591814,957524,1106999,1140222,897266,813574,667330,494135,561440,624886
 "27000","Minnesota",4,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),-5130,-7335,10934,(D)
 "27000","Minnesota",4,CAINC5N,300,"22","   Utilities","Thousands of dollars",842827,811803,959441,1198247,1210619,1293319,1342312,1492110,1462144,1530664,1679662,1580571,1771211,1840227,1843677,1868715,1826316,1908942
 "27000","Minnesota",4,CAINC5N,400,"23","   Construction","Thousands of dollars",9149143,9487687,9876061,10363213,10222065,10284917,9802835,9073023,8055342,8103720,8778708,9983895,10611471,11570128,12485390,12773484,13395256,13978979
 "27000","Minnesota",4,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",2185252,2323596,2387213,2466836,2460165,2434540,2389072,2360459,2150188,2185181,2430255,2918229,2909583,3092630,3228565,3295440,3443163,3633141
 "27000","Minnesota",4,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",989866,1076339,1121545,1178992,1127109,1127719,1125105,1108926,1099173,1049546,1087102,1197164,1315349,1426050,1568787,1578687,1625964,1657093
 "27000","Minnesota",4,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",5974025,6087752,6367303,6717385,6634791,6722658,6288658,5603638,4805981,4868993,5261351,5868502,6386539,7051448,7688038,7899357,8326129,8688745
 "27000","Minnesota",4,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",20525661,20752694,21180383,22938393,22509926,22564511,23009869,23196028,20841863,21022496,22324447,23358125,23824320,25279971,26589350,26723491,27266442,28206254
 "27000","Minnesota",4,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",13400898,13245509,13681043,14950400,15165323,15329401,15672069,15642513,13744726,13996289,14935632,15455908,15787788,16435378,17258811,17402379,17789128,18601711
 "27000","Minnesota",4,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",795506,776266,865445,1123905,1167112,1096729,979580,847097,632327,577311,610005,609371,622750,713759,802132,944191,982973,1039816
 "27000","Minnesota",4,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",518579,530103,539104,584634,593852,588318,621869,591368,460141,448700,497810,542704,590326,591291,619999,571103,560477,594201
 "27000","Minnesota",4,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",322064,325908,332236,382379,399898,407204,414402,444380,319857,376466,462912,456783,434993,445318,449959,417135,460063,494329
