County,Year,Number of jurisdictions reporting,Total acres,Total estimated value,Estimated value per acre
Koochiching,2002,11,130006,42472100,327
Koochiching,2003,11,130093,42346200,326
Koochiching,2004,11,129303,48961400,379
Koochiching,2005,11,127733,66882300,524
Koochiching,2006,11,126775,66562700,525
Koochiching,2007,11,124830,89793500,719
Koochiching,2008,11,124660,95112500,763
Lac Qui Parle,2000,29,452559,369520200,817
Lac Qui Parle,2001,29,451912,370140000,819
Lac Qui Parle,2002,29,451690,406995200,901
Lac Qui Parle,2003,29,451486,430236700,953
Lac Qui Parle,2004,29,451131,552460900,1225
Lac Qui Parle,2005,29,450906,641313900,1422
Lac Qui Parle,2006,29,450628,749493900,1663
Lac Qui Parle,2007,29,449597,818681900,1821
Lac Qui Parle,2008,29,449147,914688100,2037
Lake,2000,10,2187,1453200,664
Lake,2001,10,2115,1527200,722
Lake,2002,10,2025,1488500,735
Lake,2003,10,2025,1815100,896
Lake,2004,10,2118,2443200,1154
Lake,2005,10,2396,3167100,1322
Lake,2006,10,2386,3554200,1490
Lake,2007,10,2391,4485700,1876
Lake,2008,10,2389,4343600,1818
Lake of the Woods,2000,26,140362,27741400,198
Lake of the Woods,2001,26,137660,29416200,214
Lake of the Woods,2002,26,134936,33591600,249
Lake of the Woods,2003,26,132056,37269500,282
Lake of the Woods,2004,26,129733,46053700,355
Lake of the Woods,2005,26,129049,52316300,405
Lake of the Woods,2006,26,128340,71096550,554
Lake of the Woods,2007,26,124741,77727500,623
Lake of the Woods,2008,26,121608,88566450,728
Le Sueur,2000,24,258711,410401900,1586
Le Sueur,2001,24,257579,434684000,1688
Le Sueur,2002,24,256853,521151179,2029
Le Sueur,2003,24,256814,580362175,2260
Le Sueur,2004,24,254861,674813375,2648
Le Sueur,2005,24,254677,788958475,3098
Le Sueur,2006,24,253560,992037875,3912
Le Sueur,2007,24,252059,1109241600,4401
Le Sueur,2008,24,251529,1116382900,4438
Lincoln,2000,20,322799,187063850,580
Lincoln,2001,20,322592,200319050,621
Lincoln,2002,20,322268,207215450,643
Lincoln,2003,20,322116,257951615,801
Lincoln,2004,20,321909,321111885,998
Lincoln,2005,20,321109,401790800,1251
Lincoln,2006,20,322470,460788500,1429
Lincoln,2007,20,319892,494487700,1546
Lincoln,2008,20,319684,595069100,1861
Lyon,2000,31,422738,454429400,1075
Lyon,2001,31,422011,481385400,1141
Lyon,2002,31,421558,502598900,1192
Lyon,2003,31,421223,551332700,1309
Lyon,2004,31,420627,635038900,1510
Lyon,2005,31,420009,724883700,1726
