County,Year,Number.of.jurisdictions.reporting,Total.acres,Total.estimated.value,Estimated.value.per.acre,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Washington,2005,33,99545,1145613350,11508,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Washington,2006,33,95583,1261114100,13194,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Washington,2007,33,94534,1291853700,13665,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Washington,2008,33,91977,1341433500,14584,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,2000,20,267914,411424240,1536,165,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Watonwan,2001,20,267795,425411240,1589,165,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Watonwan,2002,20,267616,425143040,1589,165,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Watonwan,2003,20,267595,444151840,1660,165,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Watonwan,2004,20,267073,488882900,1831,165,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Watonwan,2005,20,266858,592980600,2222,165,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Watonwan,2006,20,266587,697635e3,2617,165,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Watonwan,2007,20,265114,741871700,2798,165,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Watonwan,2008,20,264905,811772700,3064,165,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Wilkin,2000,31,457191,450456220,985,167,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Wilkin,2001,31,457056,449380870,983,167,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Wilkin,2002,31,456894,448675470,982,167,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Wilkin,2003,31,456281,448361770,983,167,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Wilkin,2004,31,452101,475831730,1052,167,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Wilkin,2005,31,452679,563209150,1244,167,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Wilkin,2006,31,452762,675216840,1491,167,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Wilkin,2007,31,452662,741849740,1639,167,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Wilkin,2008,31,452187,865706940,1914,167,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Winona,2000,32,319555,411492960,1288,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Winona,2001,32,319212,496612320,1556,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Winona,2002,32,318497,505230180,1586,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Winona,2003,32,317260,575661040,1814,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Winona,2004,32,316733,631509100,1994,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Winona,2005,32,315854,727012500,2302,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Winona,2006,32,315500,816564080,2588,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Winona,2007,32,314766,888605180,2823,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Winona,2008,32,314394,1006691280,3202,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Wright,2000,35,345591,779794400,2256,171,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Wright,2001,35,342248,985958400,2881,171,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Wright,2002,35,339614,1134755350,3341,171,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Wright,2003,35,337394,1471791500,4362,171,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Wright,2004,35,334197,1882716200,5634,171,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Wright,2005,35,329666,2222198500,6741,171,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Wright,2006,35,326844,2693586700,8241,171,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Wright,2007,35,323141,2719612100,8416,171,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Wright,2008,35,320788,2506617e3,7814,171,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Yellow Medicine,2000,30,462808,446314270,964,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Yellow Medicine,2001,30,461815,438670470,950,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Yellow Medicine,2002,30,461563,499185770,1082,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Yellow Medicine,2003,30,461176,531954950,1153,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Yellow Medicine,2004,30,460772,615160050,1335,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Yellow Medicine,2005,30,460334,732493150,1591,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Yellow Medicine,2006,30,460030,876796100,1906,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Yellow Medicine,2007,30,459685,951064200,2069,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Yellow Medicine,2008,30,457723,1021605200,2232,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Aitkin,2009,60,120808,163021300,1349,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2010,60,100335,138844100,1384,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2011,60,98925,136961400,1384,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2012,60,96570,133979900,1387,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2013,60,97033,128688e3,1326,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2014,60,97461,126697e3,1300,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2015,60,96973,125833200,1298,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2016,60,96566,129546500,1342,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2017,60,94806,123395100,1302,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Anoka,2009,21,34993,356440700,10186,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2010,21,38383,327078e3,8521,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2011,21,38174,304562e3,7978,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2012,21,37665,261452400,6942,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2013,21,37578,250258600,6660,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2014,21,37364,252529e3,6759,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2015,21,37290,253773300,6805,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2016,21,37002,252826100,6833,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2017,21,36644,259696300,7087,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,2009,44,332761,524859700,1577,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2010,44,334891,543854540,1624,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2011,44,335006,677315817,2022,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2012,44,333999,742283877,2222,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2013,44,333501,844541416,2532,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2014,44,333937,960843111,2877,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2015,44,333134,952274698,2859,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2016,44,332262,953383598,2869,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2017,44,332248,954458600,2873,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Beltrami,2009,60,175027,154911307,885,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2010,60,190243,177499353,933,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2011,60,192991,171644520,889,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2012,60,194238,173887175,895,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2013,60,195051,172210460,883,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2014,60,195696,191343994,978,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2015,60,196745,198827008,1011,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2016,60,197796,203401560,1028,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2017,60,201334,211280400,1049,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Benton,2009,19,167681,531113097,3167,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2010,19,166506,529033840,3177,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2011,19,166487,479024516,2877,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2012,19,165997,479192231,2887,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2013,19,180165,520193862,2887,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2014,19,179905,550764671,3061,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2015,19,179529,548928958,3058,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2016,19,179426,547851253,3053,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2017,19,179049,548390600,3063,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Big Stone,2009,22,286858,622325300,2169,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2010,22,264619,700025900,2645,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2011,22,264540,701372900,2651,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2012,22,262396,842283900,3210,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2013,22,262992,1059606e3,4029,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2014,22,262562,1109265500,4225,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2015,22,262680,1176080900,4477,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2016,22,262553,1176800700,4482,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2017,22,278154,1165437900,4190,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Blue Earth,2009,35,402419,1758449100,4370,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2010,35,388031,1701500200,4385,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2011,35,384915,1819587300,4727,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2012,35,384907,2136744e3,5551,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2013,35,384555,3007333100,7820,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2014,35,383754,3517128300,9165,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2015,35,383405,3038504700,7925,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2016,35,383252,2889748300,7540,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2017,35,381661,2887181100,7565,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Brown,2009,23,352287,1194656300,3391,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2010,23,345835,1410859283,4080,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2011,23,345389,1562393436,4524,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2012,23,349171,1919624273,5498,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2013,23,348863,2455696806,7039,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2014,23,348747,2795569037,8016,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2015,23,348509,2609464325,7488,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2016,23,348251,2652400158,7616,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2017,23,348004,2392596100,6875,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Carlton,2009,34,103022,151195600,1468,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2010,34,100253,146183100,1458,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2011,34,97935,139107400,1420,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2012,34,93839,125352400,1336,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2013,34,74862,98965300,1322,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2014,34,73045,96268800,1318,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2015,33,71385,94723300,1327,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2016,33,71084,94593300,1331,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2017,33,70134,95633800,1364,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carver,2009,21,165995,1214033500,7314,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2010,21,164250,1016193430,6187,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2011,21,156408,972071601,6215,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2012,21,155265,999370707,6437,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2013,21,152772,1100571667,7204,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2014,21,152403,1165478138,7647,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2015,21,151848,1189137039,7831,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2016,21,150879,1197472553,7937,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2017,21,149898,1179029e3,7866,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,2009,76,130380,223505900,1714,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2010,76,131532,208191300,1583,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2011,76,131660,191389900,1454,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2012,76,135011,195423500,1447,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2013,76,134892,181171800,1343,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2014,76,133843,181219600,1354,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2015,76,134150,192279200,1433,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2016,76,134740,197880700,1469,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2017,76,134631,204083800,1516,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Chippewa,2009,22,334171,1144393800,3425,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2010,22,332750,1158620800,3482,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2011,22,332556,1248048700,3753,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2012,22,332505,1591059600,4785,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2013,22,332415,2003241800,6026,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2014,22,332450,2273436e3,6838,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2015,22,332270,2220204600,6682,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2016,22,332299,2153250500,6480,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2017,22,332326,2152772100,6478,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chisago,2009,19,148406,615306500,4146,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2010,19,146017,546713780,3744,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2011,19,142005,430941e3,3035,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2012,19,127321,386154098,3033,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2013,19,107390,355983186,3315,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2014,19,107366,387626607,3610,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2015,19,106370,395598899,3719,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2016,19,105279,377983012,3590,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2017,19,102136,378761900,3708,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Clay,2009,41,557545,1016013400,1822,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2010,41,558641,1097128480,1964,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2011,41,561055,1268134490,2260,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2012,41,560228,1529476151,2730,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2013,41,557699,1943480417,3485,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2014,41,556645,2428196349,4362,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2015,41,548522,2367381167,4316,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2016,41,547066,2161707411,3951,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2017,41,546796,1919862800,3511,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clearwater,2009,28,274932,237982800,866,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2010,28,263749,225690761,856,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2011,28,244706,210290480,859,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2012,28,245876,211670877,861,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2013,28,245811,211735564,861,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2014,28,242717,221398712,912,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2015,28,240741,229002741,951,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2016,28,239462,238289654,995,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2017,28,231098,238874100,1034,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Cook,2009,15,1839,5514200,2998,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2010,15,1650,5271400,3195,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2011,15,1612,4758700,2952,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2012,15,1615,4098800,2538,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2013,15,1610,4062300,2523,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2014,15,823,2061200,2504,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2015,15,813,2160900,2658,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2016,16,768,1381400,1799,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2017,15,781,1458500,1867,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cottonwood,2009,25,376376,1480890965,3935,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2010,25,383071,1485119713,3877,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2011,25,382913,1662423429,4342,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2012,25,371545,2065318723,5559,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2013,25,370879,2950154846,7954,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2014,25,370830,3240573528,8739,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2015,25,370150,2732919251,7383,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2016,25,370046,2734340435,7389,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2017,25,371646,2623557500,7059,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Crow Wing,2009,48,154514,344830600,2232,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2010,48,67850,173726204,2560,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2011,48,67732,164030300,2422,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2012,48,69203,150703400,2178,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2013,48,70710,147537e3,2087,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2014,48,71111,140187600,1971,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2015,48,71251,143030300,2007,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2016,48,71929,142768400,1985,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2017,48,71746,152155300,2121,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Dakota,2009,34,175184,1343061644,7667,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2010,34,174958,1106544036,6325,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2011,34,177873,1111980707,6252,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2012,34,177645,1156274808,6509,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2013,34,180254,1385920300,7689,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2014,34,179842,1460734e3,8122,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2015,34,179389,1467486e3,8180,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2016,34,178658,1459432100,8169,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2017,34,177152,1374251100,7757,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,2009,19,251420,985332100,3919,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2010,19,247698,1052360700,4249,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2011,19,247734,1158723400,4677,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2012,19,248394,1371417500,5521,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2013,18,248408,1794137900,7223,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2014,18,248317,1890927700,7615,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2015,18,248465,1891913100,7614,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2016,18,248300,1743725400,7023,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2017,18,247369,1651677500,6677,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Douglas,2009,31,232171,591994400,2550,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2010,31,242034,600720700,2482,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2011,31,243284,598614700,2461,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2012,31,243939,591931300,2427,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2013,31,243854,738257500,3027,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2014,31,243744,853193400,3500,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2015,31,243286,856205500,3519,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2016,31,242779,823206300,3391,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2017,31,243018,828784600,3410,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Faribault,2009,31,413731,1497295825,3619,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2010,31,413502,1715391266,4148,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2011,31,413522,1916263090,4634,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2012,31,413288,2141333533,5181,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2013,31,413047,3083647829,7466,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2014,31,412800,3445577919,8347,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2015,31,412767,3090087337,7486,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2016,31,412911,2942314702,7126,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2017,31,425361,2800814100,6585,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
