County,Year,Number.of.jurisdictions.reporting,Total.acres,Total.estimated.value,Estimated.value.per.acre,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Chisago,2006,20,177257,871203959,4915,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2007,20,176346,976046721,5535,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2008,20,173881,903574921,5197,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Clay,2000,41,610208,460874300,755,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2001,41,608623,463910200,762,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2002,41,607315,466635600,768,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2003,41,606996,478117800,788,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2004,41,602811,558395600,926,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2005,41,600542,647253500,1078,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2006,41,596476,768468700,1288,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2007,41,598415,814016500,1360,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clay,2008,41,595865,964096900,1618,027,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
Clearwater,2000,27,301607,89366570,296,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2001,27,300937,89333462,297,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2002,27,300875,104853416,348,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2003,27,298855,119624865,400,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2004,27,299262,135196030,452,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2005,27,300112,175143768,584,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2006,28,299730,230687065,770,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2007,28,291316,254575165,874,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Clearwater,2008,28,288472,251026930,870,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Cook,2000,15,2099,1985800,946,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2001,15,2132,2276500,1068,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2002,15,2146,2617700,1220,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2003,15,2111,2731200,1294,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2004,15,2370,3506400,1479,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2005,15,2375,4656200,1961,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2006,15,2364,5664e3,2396,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2007,15,2362,7100700,3006,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cook,2008,15,2405,7248100,3014,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Cottonwood,2000,25,391797,520614700,1329,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2001,25,391714,559444600,1428,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2002,25,391534,596744600,1524,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2003,25,391134,601337200,1537,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2004,25,389644,687753e3,1765,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2005,25,389388,788653400,2025,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2006,25,389104,880316e3,2262,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Cottonwood,2007,25,388025,940844900,2425,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
